AED	Edi-0.maker.iprscan.gff
0.000	0.079
0.025	0.159
0.050	0.233
0.075	0.288
0.100	0.365
0.125	0.410
0.150	0.462
0.175	0.488
0.200	0.521
0.225	0.541
0.250	0.579
0.275	0.606
0.300	0.648
0.325	0.677
0.350	0.723
0.375	0.750
0.400	0.805
0.425	0.831
0.450	0.877
0.475	0.916
0.500	0.969
0.525	0.973
0.550	0.980
0.575	0.983
0.600	0.986
0.625	0.990
0.650	0.993
0.675	0.994
0.700	0.995
0.725	0.996
0.750	0.997
0.775	0.998
0.800	0.998
0.825	0.999
0.850	0.999
0.875	0.999
0.900	0.999
0.925	1.000
0.950	1.000
0.975	1.000
1.000	1.000
