Rname	Rclass	Rfam	fam	variable	value	distance	age
TE_00000335_LTR	LTR	Gypsy	LTR/Gypsy	2	0	0.02	1216545.01216545
TE_00000028_LTR	LTR	Gypsy	LTR/Gypsy	2	0	0.02	1216545.01216545
TE_00000144	DNA	DTH	DNA/DTH	2	0	0.02	1216545.01216545
TE_00000270_LTR	LTR	Gypsy	LTR/Gypsy	2	0	0.02	1216545.01216545
TE_00000239	DNA	DTH	DNA/DTH	2	0	0.02	1216545.01216545
TE_00000396	DNA	DTH	DNA/DTH	2	0	0.02	1216545.01216545
TE_00000288	MITE	DTH	MITE/DTH	2	0	0.02	1216545.01216545
TE_00000189	DNA	DTC	DNA/DTC	2	0	0.02	1216545.01216545
TE_00000371	DNA	DTC	DNA/DTC	2	0	0.02	1216545.01216545
TE_00000394_INT	LTR	Copia	LTR/Copia	2	0	0.02	1216545.01216545
TE_00000119_INT	LTR	Gypsy	LTR/Gypsy	2	2256	0.02	1216545.01216545
TE_00000007	DNA	DTA	DNA/DTA	2	0	0.02	1216545.01216545
TE_00000039	DNA	DTM	DNA/DTM	2	0	0.02	1216545.01216545
TE_00000290_LTR	LTR	Copia	LTR/Copia	2	0	0.02	1216545.01216545
TE_00000148	DNA	DTM	DNA/DTM	2	0	0.02	1216545.01216545
TE_00000169_INT	LTR	Copia	LTR/Copia	2	0	0.02	1216545.01216545
TE_00000272	DNA	DTM	DNA/DTM	2	0	0.02	1216545.01216545
TE_00000115	DNA	DTM	DNA/DTM	2	0	0.02	1216545.01216545
TE_00000407_LTR	LTR	Gypsy	LTR/Gypsy	2	0	0.02	1216545.01216545
TE_00000277	DNA	DTM	DNA/DTM	2	0	0.02	1216545.01216545
TE_00000298	DNA	DTA	DNA/DTA	2	0	0.02	1216545.01216545
TE_00000284_INT	LTR	Copia	LTR/Copia	2	0	0.02	1216545.01216545
TE_00000056_LTR	LTR	Gypsy	LTR/Gypsy	2	0	0.02	1216545.01216545
TE_00000157	DNA	DTC	DNA/DTC	2	0	0.02	1216545.01216545
TE_00000200_INT	LTR	Gypsy	LTR/Gypsy	2	7598	0.02	1216545.01216545
TE_00000180	DNA	DTC	DNA/DTC	2	0	0.02	1216545.01216545
TE_00000032_INT	LTR	Gypsy	LTR/Gypsy	2	0	0.02	1216545.01216545
TE_00000152_LTR	LTR	Copia	LTR/Copia	2	1337	0.02	1216545.01216545
TE_00000081_LTR	LTR	Copia	LTR/Copia	2	0	0.02	1216545.01216545
TE_00000230	DNA	DTH	DNA/DTH	2	0	0.02	1216545.01216545
TE_00000012	MITE	DTM	MITE/DTM	2	0	0.02	1216545.01216545
TE_00000112_LTR	LTR	Gypsy	LTR/Gypsy	2	0	0.02	1216545.01216545
TE_00000349	MITE	DTA	MITE/DTA	2	0	0.02	1216545.01216545
